Title,Likes,Views,Date_Time,video_link,Description
BB Ki Vines- | Titu Talks- Episode 3 ft. Lifelines Of Society |,View,17M views,3 years ago,https://www.youtube.com/watch?v=mOLlhfxGhVk,"In this episode of Titu Talks, I met a few unsung heroes of our society.


Basera Sansthan: http://baserasamajiksansthan.org/
Voice Of Slum: https://www.voiceofslum.org

DOP: Priyanshu Vats
Creative Supervisor: Shubham Gaur
Sound: Ankit Kumar
Title Track Production: Omkar Tamhan
Thumbnail: mauryanpentool

Location: Moospring Farms (https://instagram.com/moospring_farm?...)

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#TituTalks #LifelinesOfSociety #BBKiVines"
BB Ki Vines- | Lockdown Queen |,View,24M views,3 years ago,https://www.youtube.com/watch?v=s4aY3VAIViw,"Mother's Day Special. Mom is confronting BB and Babloo because they won't help her in household work.

This Mother’s Day, show her some love. Solve all her complains and troubles, gift her BLU light blocking lenses.
Check out here: https://bit.ly/2WiWIwb

Mivi Headphones: https://mivi.shop/R25F3Q

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#MothersDay #BBKiVines #BhuvanBam"
Bubbly Sir Ki Lockdown Life! | Angry Masterji 15 | BB Ki Vines,Show transcript,61M views,3 years ago,https://www.youtube.com/watch?v=xgXnDnf0cHY,"Online classes go as well as you’d expect for Bubbly sir when BB and Banchoddas join the call. This one is dedicated to all the students!

To get Bancho’s bluetooth headset: https://mivi.shop/R25F3Q

Special thanks to Amit Kulkarni and Rajas Belsare         

#AngryMasterjiPart15 #AMP15 #BBKiVines #OnlineClass       
             
ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- | Time To Be A Hero |,View,14M views,3 years ago,https://www.youtube.com/watch?v=6xmcYOq1r7I,"BB, mom and dad are discussing the DO's and DON'Ts during this Quarantine situation.
World Health Organisation's video:    • Video  
MYTH BUSTERS: https://www.who.int/emergencies/disea...
Ministry of Health and Family Welfare: https://www.mohfw.gov.in/
#TimeToBeAHero
#StayIndoors
#BhuvanBam"
First Impression is the Last Impression | Business call | BB Ki Vines,View,30M views,3 years ago,https://www.youtube.com/watch?v=QQF4Uz4CZMg,"Babloo ji has an important video call with an American client today. What's going to happen?

Watch VMate Asli Holibaaz Video air on March 8th only on VMate app and check out who’s the Asli Holibaaz!
Friends, stay tuned for VMate Asli Holibaaz short movie, and watch MY collaboration video with Ashish Chanchlani, to fight to become Asli Holibaaz and can win 100 Crore, search “V-M-A-T-E: VMate” in Google Play and download it , win assured cash, new Redmi 8 phone and new car is waiting for you! 

Watch the Video starred by Ashish Chanchlani and Bhuvan Bam NOW: http://bit.ly/3cyD5Gy

Vote for your favorite and win a new car now: http://bit.ly/2TPtsLg

Shop for my favourite Mivi Earphones and Speakers at: https://mivi.shop/homepg

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK
Buy my merchandise from https://bit.ly/3D3mTdu
#BusinessCall #BBkiVines #VMateAsliHolibaaz #VMate"
BB Ki Vines (Vlog #7)- | BB in Davos |,View,7.7M views,3 years ago,https://www.youtube.com/watch?v=vQ_5BsUIxQk,"A glimpse of my trip to Davos, Switzerland where I was invited to the World Economic Forum 2020.

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Safar Remix:    • Bhuvan Bam - Safar (Joshi Remake)  

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#wef2020 #BBinDavos #WorldEconomicForum"
Pyaar Ki Taakat | Valentine Shopping | BB Ki Vines,View,36M views,4 years ago,https://www.youtube.com/watch?v=jqp0lqrfQwQ,"BB is shopping for a Valentine's gift for his girlfriend with Bancho and Sameer.

Buy BB Ki Vines Calendar here:
https://youthiapa.com/


ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK
Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- | Doctor Sehgal- (Seedhe Ji) |,View,17M views,4 years ago,https://www.youtube.com/watch?v=zio4wp5tFZ8,"A patient with unique problem visits Doctor Sehgal.

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#DoctorSehgal #BBKiVines"
WhatsApp ki Taakat! | What the Bunk | BB Ki Vines,View,32M views,4 years ago,https://www.youtube.com/watch?v=RXeLbs_ogDU,"Bhuvan and Banchoddas have decided to coordinate a mass bunk through WhatsApp.

https://www.beardo.in/fragrance/beard... 
Use Coupon Code BANCHO to get a mad discount on Beardo's DARK SIDE Perfume. Offer valid till 21st January, 2020.

#BBKiVines #SameerBB #WhatTheBunk

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- | My Duty |,Sync to video time,22M views,4 years ago,https://www.youtube.com/watch?v=Hk3GMLrlCEo,"Is our outrage not helping the situation? Let's act accordingly. SHARE THIS VIDEO.

Music credits: https://www.bensound.com

This is an all original work of BB Ki Vines. 

#MyDuty #BBKiVines #BhuvanBam"
BB Ki Vines- | Ask BB- Episode 6 |,View,18M views,4 years ago,https://www.youtube.com/watch?v=xBenpJNznJA,"Welcome to the 6th episode of ASK BB where my family answers all your questions!

The Mivi Big Bang Sale is here. 
Get Deals: https://mivi.shop/BBsale
Get the Roam wireless speaker for just Rs.999
Thunder Beats Bluetooth earphones for just Rs.1099.

Entire Mivi collection is on sale.

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#AskBB6 #bhuvanbam #bbkivines"
Ajnabee - Bhuvan Bam | Official Music Video |,View,15M views,4 years ago,https://www.youtube.com/watch?v=_Dx9Qjod0s0,"Bhuvan Bam releases his 6th Single 'Ajnabee'. True love that didn’t fade with time and unsaid words.

Listen to the mp3 on-
JioSaavn: http://jiosaa.vn/ajnabeebb
Spotify: http://bit.ly/AjnabeeOnSpotify
Gaana: https://gaana.com/song/ajnabee-5
itunes:   / ajnabee-single  

Written, Sung & Composed By- Bhuvan Bam
Music producer- Omkar Tamhan
Mixed and mastered by Shadaab Rayeen
Guitars- Chaitanya Bhaidkar 
Violin- Shirish Malhotra
Strings Recorded at Enzy Studios
Recording Engineer- Julian Mascarenhas

Agency - Humour Me 
Film Production - Humour Me
Story and Direction - Dhruv Sachdeva and Clifford Afonso
Creative Producer- Heena Chugh
Director of Photography - Arnab Gayan
DOP Assistant - Shaaz Rizvi
Assistant Director - Pranav Suneja
Actor - M.K Raina, Apoorva Arora, Chandra Mann, Tonakshi Kalra and Bhuvan Bam
Editor - Subodh Sundriyal
Colorist - Nube Studio LLOYD
Art director - Govind Kumar
Art Work - Sidhant Gandhi (TooSid)
Stylist - Yashika Kakkar
Hair & Make-up - Amoad Sharma
Gaffer - Sanjay Kumar
Focus Puller - Ali
Camera Rental - Java motion Picture
Light Rental - Lights N light
Prod Manager - Vineet Mohanan
Line Producer - Ravi Singh (Front locus)
Behind The Scenes - Tushar Mahajan
BTS Editor- Hardik Reen
Social media artwork: MauryanPentool

Special thanks to team One Digital Entertainment: Gurpreet Bhasin, Sudeep Lahiri, Kartik Parande, Sandeep, Pranay.

Airtel Subscribers Direct Dial 5432117276619 to Set as Hello tune

Airtel Code -V Code
https://www.airtelhellotunes.in/singl...

Vodafone - Vodafone Subscribers for Caller Tune Direct Dial 53711710296

IDEA - CRBT DT CODE - Idea Subscribers for Dialer Tone Direct Dial 53711710296

BSNL -East & South DT Codes - BSNL (E & S) Subscribers Direct Dial 5670011710295 to set BSNL Tune

BSNL - North / West Direct Dial - BSNL (N & W) Subscribers Direct Dial 567007331835 to set BSNL Tune

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of Bhuvan Bam.

#Ajnabee #BhuvanBam #BBoriginal"
Ye Babloo Ji ka Raj Hai! | Nahi Jaana Please | BB Ki Vines,View,36M views,4 years ago,https://www.youtube.com/watch?v=baZ1cVxiNtg,"Mom and Dad are forcing BB to accompany them to a family wedding.

#BhuvanBam #NahiJaanaPlease #Shaadi

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
BB ka chota bhai?! | Khush-Khabri | BB Ki Vines,View,37M views,4 years ago,https://www.youtube.com/watch?v=EJe3xxkzj5Y,"Janki's sickness is hinting towards something. What could it be?

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#KhushKhabri #BBKiVines #BhuvanBam"
Body ka strongest hissa kya hai? | Angry Masterji 14 | BB Ki Vines,View,42M views,4 years ago,https://www.youtube.com/watch?v=_ey_1I1aJ5w,"Bubbly sir gets a Teacher's Day surprise, in more ways than one.      

#BBKiVines #SalaryBonus #DreamJob                       

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- | Paani Ki Samasya |,View,32M views,4 years ago,https://www.youtube.com/watch?v=S6tVYpKZ2fo,"Shortage of water is causing major problems in BB's family.

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#PaaniKiSamasya #SaveWater #BBkiVines"
Bablooji's ex? | Chakhne Pe Charcha |BB Ki Vines,View,43M views,4 years ago,https://www.youtube.com/watch?v=szvRvkQRyGg,"Bablooji, Titu Mama and Sameer have a heart to heart conversation over some drinks and chakna.

With #vivoZ1Pro, my dad's gonna get a long lasting battery so that he could keep a check on his family. Catch the all-new #vivoZ1Pro in my video, #FullyLoaded with Snapdragon 712AIE, 5000mAh Battery with 18W Fast Charging and 32MP In-Display Camera at INR 14,990/-. 
Get yours on 18th July, 12 PM on Flipkart : http://bit.ly/2XwwtQq
#BBKiVines #ChakhnePeCharcha #TituMama

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on 

Instagram►   / bhuvan.bam22   
Facebook►   / bbkivines   
Twitter►  / bhuvan_bam   and   / bbkv22  . 

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK 

Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- | Detective Mangloo |,View,31M views,4 years ago,https://www.youtube.com/watch?v=b0Go-EZEc4M,"Banchoddas has hired a detective to spy on his new girlfriend.

Download karein Spoyl app aur Zabardast kapde ""GREATEST OF ALL TIME Sale"" pe 50-90% Off mai kharidein aur paise bachayein! For Extra 20% Off - Use Code: BB20
Link: https://spoyl.page.link/BB

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

Ending Mission Impossible besura tune by Omkar Tamhan.

#DetectiveMangloo #BBkiVines"
Family Cruise Trip | Light Gayi Hai! | BB Ki Vines,View,40M views,4 years ago,https://www.youtube.com/watch?v=r6k3NdKoMX8,"To beat the heat, Babloo decides to take a cruise vacation with the family. Nothing can go wrong, or can it?

#BBKiVines #CruiseTrip #BeatTheHeat

Get my favourite Airflex frames by Lenskart : http://lskt.me/af
Ultra light and Super Flexible. 

Also Unbreakable, unlike promises by hoax travel companies. :D
#AirFlex #BBkeFrames #LightGayiHai

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- | Unprotected Fax |,View,31M views,4 years ago,https://www.youtube.com/watch?v=nvmOhpuIhfI,"Bhuvan has committed a massive blunder. What is it? 

Beardo Neem Facewash: https://www.beardo.in/skin/beardo-nee...

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

My favourite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#Awareness #BBKiVines #BhuvanBam"
BB Ki Vines- | The Brighter Side |,View,21M views,4 years ago,https://www.youtube.com/watch?v=RcOOMlJHRH0,"Results are out. A conversation between Bhuvan and his father.

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/


My favourite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

Music credit: https://www.bensound.com"
Bubbly sir's last day | Angry Masterji 13 | BB Ki Vines,View,54M views,4 years ago,https://www.youtube.com/watch?v=Wg-ZgiQvlTY,"It's Bubbly sir last PTA meeting and he has a parting gift for Bhuvan. 
                                                        
#BBKiVines #BubblySir #AngryMasterji

Get your Arctic Fox bag: https://www.arcticfox.com/product-cat                                                                         

My favorite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019 Special Coupon Code for BB Army: BB2019 

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK 

Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines (Vlog #6)- | BB in USA |,Sync to video time,13M views,4 years ago,https://www.youtube.com/watch?v=Tv1Z4jvcgws,"A glimpse of my trip to US where I watched the NBA All Stars Game.

My Favourite Mivi Roam Bluetooth Speaker
Buy Here: https://mivi.shop/BB_Roam
Use special discount Coupon: BBUSA

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines."
Dosti Karke Dhoka Mila! | Holi Ke Laddoo | BB Ki Vines,Show transcript,36M views,4 years ago,https://www.youtube.com/watch?v=v9mxKGJ7Nv0,"Mr Hola has come to ask for the boys' forgiveness, can they be friends ? 

Download HALAPLAY: https://go.onelink.me/app/27cb0567  
Use Coupon Code: BBKACODE for ₹50 Signup Bonus

My favorite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019
Special Coupon Code for BB Army: BB2019

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK
Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- Bhuvan Bam- Bas Mein | Official Music Video |,View,23M views,4 years ago,https://www.youtube.com/watch?v=oBfRJplcSuk,"Bhuvan Bam releases his 5th single 'Bas Mein'.

BAS MEIN Mp3- http://jiosaa.vn/basmeinbb

iTunes link- https://itunes.apple.com/in/album/bas...

Singer, Composer & Lyricist- Bhuvan Bam
Music Production- Omkar Tamhan
Guitars- Chaitanya Bhaidkar 
Recorded at Island city 
Recording assistant Samarth Chawla 
Vocal production- Omkar Tamhan 
Mixed and mastered by Abhishek Ghatak

Featuring- Sharmila Sharma & Bhuvan Bam

Director- Kartik Parande
Associate Director- Sudeep Lahiri
D.O.P- Saishyam
Assistant Director- Snehha Suresh & Charan Rathore
Camera Team- Amey Dhuri & Himanshu Agarwal
Editor- Ravi Chellaramani
Graphics- Mustafa Zaveri & Murtaza Patanwala
DI artist- Harsh Dandotiya
Makeup & Hair- Pratik Pimpale, Zubeda & Kiran
Executive Producer- Rohit Raj

Choreography- Sonal Devraj & Nicole Concessao (Team Naach)
Team Naach Dancers- Tanuj Barot, Vinayak Ghoshal, Yoshetaa jogi, Aashtha Bodhisattava, Sanjhit Acharya, Andrea Quadros, Akansha Vora, Vikas

Follow Team Naach:    / @teamnaach  

Digitally Powered by One Digital Entertainment

My favourite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019
Special Coupon Code for BB Army: BB2019

Official BB Ki Vines Merchandise: https://youthiapa.com/

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines."
Naughty Ghaziabad | Titu Talks Ep 02 ft. Johnny Sins  @SinsTV  | BB Ki Vines,View,56M views,4 years ago,https://www.youtube.com/watch?v=dLhKPgAotSQ,"In the second episode of Titu Talks, Titu Mama interviews the biggest (literally) adult movie star, Johnny Sins. 

Sins TV:    / @sinstv  

DOP: Sandra Selva
Sound: Shreyas Kandekar

Titu Talks intro Music: Omkar Tamhan
Titu Talks intro Lyrics/Composition: Bhuvan Bam
Red Bull: Rohit Raj

Intro video: Ravi D. Chellaramani

My favorite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019
Special Coupon Code for BB Army: BB2019

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
800 ka kaccha kaun pehenta hai?! | Faaltu Kharcha | BB Ki Vines,View,40M views,5 years ago,https://www.youtube.com/watch?v=g0CWxEuN2VI,"Bablooji is furious after seeing BB's shopping bills. 

#BBKiVines #FaaltuKharcha #BablooJi

My favourite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019 
Special Coupon Code for BB Army: BB2019  

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on 

Instagram►   / bhuvan.bam22   
Facebook►   / bbkivines   
Twitter►  / bhuvan_bam   and   / bbkv22  . 

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK 

Buy my merchandise from https://bit.ly/3D3mTdu"
Bhuvan Ka Birthday! | Itni Thand English Jhand | BB Ki Vines,View,57M views,5 years ago,https://www.youtube.com/watch?v=OIr31AZtVSk,"BB's birthday is coming soon and the boys along with Bablooji discuss how to celebrate it.                                                                                                        

#BBKiVines #BhuvanKaBirthday #ItniThandEnglishJhand

My favorite Mivi Wireless Speakers & Earphones : https://mivi.in/bb2019 

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
BB Ki Vines- | The Salesman- Part 2 |,View,31M views,5 years ago,https://www.youtube.com/watch?v=kk99KdrraJI,"The salesman has arrived once again to sell his unique products!
Download Fortnite for free here: https://pixly.go2cloud.org/SHw9

My favourite Mivi Wireless Earphones : https://mivi.shop/ed8e
Special Coupon Code for BB Army: BBDEC

Buy BB Ki Vines Official Merchandise here:
https://youthiapa.com/

Facebook►   / bbkivines  
Instagram► bhuvan.bam22
Snapchat► bbkv22
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

Thanks to Epic Games for sponsoring this video."
Wife Ko Impress Karne Ke 3 Shabd! | Titu Talks Ep 01 ft. Shah Rukh Khan | BB Ki Vines,View,51M views,5 years ago,https://www.youtube.com/watch?v=zsjK04TqQq0,"Titu Talks pilot episode starring the Badshah himself, Shah Rukh Khan.

#BhuvanWithSRK #TituTalks

One Digital Entertainment Ninjas:
Anushka Vaidya 
Aritra Sen 
Amey Dhuri 
Himanshu Agarwal
Sudeep Lahiri

Art director: Rajesh Rathod from Leela Design & Art direction
Camera- Paxton
Sound- Janvi Video
Sound recordist - Manoj Kumar
Lights- Satheesh.K.V
Intro VFX: Ravi DC

Titu Talks intro Music: Omkar Tamhan
Titu Talks intro Lyrics/Composition: Bhuvan Bam
Red Bull: Rohit Raj

Thanks to Red Chillies Entertainment. ZERO out on 21st December' 18

My favorite Mivi Wireless Earphones : https://mivi.shop/ed8e
Special Coupon Code for BB Army: BBDEC

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://bit.ly/3D3mTdu"
I made a Johnny Sin  | Ghar Ke Kaagaz | BB Ki Vines,View,37M views,5 years ago,https://www.youtube.com/watch?v=lXQgSJsqLyw,"Titu Mama has screwed up big time, how will he save the day?

Games Khelo aur Paise Jeeto!
Jeetiye 1 lakh Rupaye harr roz -MPL App download kariye abhi aur shuru ho jaiye apne favourite games ke saath -https://www.mpl.live

My favorite Mivi Wireless Earphones : https://mivi.shop/ed8e
Special Coupon Code for BB Army: BBDEC

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK
Buy my merchandise from https://bit.ly/3D3mTdu"
Bhuvan Bam- | Girl Child Education- A YouTube Impact Lab Initiative |,View,3.9M views,5 years ago,https://www.youtube.com/watch?v=MGeC6aZkz74,"I, Bhuvan Bam joined hands with YouTube to highlight the impact of educating girls in India. Let's educate our girls(and boys) today to give them a better chance for tomorrow. 


Learn more at www.youtube.com/impactlab/campaigns"
Bablooji gone DEAF?! | Diwali pe Diwala | BB Ki Vines,View,43M views,5 years ago,https://www.youtube.com/watch?v=9sgzsesyCew,"Bablooji has become deaf due to a firecracker incident on Diwali, how will the family cope?

#BBKiVines #BablooJi #DiwaliPeDiwala

Download Groww App - https://groww.app.link/7SZiIWPdIR

Checkout my favorite Mivi products at : https://mivi.shop/bbnov
Use Coupon Code: BBNOV

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on 
Instagram►   / bhuvan.bam22   
Facebook►   / bbkivines   
Twitter►  / bhuvan_bam   and   / bbkv22  . 

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK 


Buy my merchandise from https://bit.ly/3D3mTdu"
Plus Minus | Divya Dutta & Bhuvan Bam | Short Film,View,31M views,5 years ago,https://www.youtube.com/watch?v=jKyXUJceZ6k,"Winner of Filmfare Award 2019 Best Short Film (People Choice Category) 

Two strangers. 
Two perspectives. 
A cup of tea. 
An overnight train journey that will change the way we look at life forever. 

After all, every minus is half of a plus. Isn't it? 

A BB Ki Vines & Sikhya Entertainment Production
in association with Good Karma Calling Productions

Plus Minus

Written & Directed by Jyoti Kapur Das 

Produced by Guneet Monga, Rohit Raj & Achin Jain

Cast - Divya Dutta, Bhuvan Bam, Raj Singh Chaudhary, Neelu Kohli, Santosh Singh & Parijat Atreja

Cinematography by Chirantan Das
Executive Producer - Guneet Dogra
Editor - Akshara Prabhakar
Music - Manoj Pradhan
Sound Design - Bigyna Dahal
Production Design - Ankur Aserkar
Costume Design - Preeti Sharma
Marketing Director - Varun Gupta (Max)
Publicity Design - Sachin Suresh Gurav (24EightyOne Publicity Pvt Ltd) 
PR - Hardly Anonymous
VFX & DI - After Studios
Colourist - Avinash Shukla

Checkout my favorite Mivi products : https://mivi.shop/plusminus
Coupon code: TITUMAMA

Additional train footage by channel ‘Trains at Glance !!!’:    • Video  

Sikhya Entertainment

Twitter►  / sikhyaent  
Facebook►  / sikhyaent  
Twitter►  / sikhya  

Official BB Ki Vines Merchandise: https://youthiapa.com/

Facebook►   / bbkivines  
Instagram►   / bhuvan.bam22  
Twitter►  / bhuvan_bam   and   / bbkv22  ."
How to impress your date | Dating Hutiyapa | BB Ki Vines,View,38M views,5 years ago,https://www.youtube.com/watch?v=n3zHrXTVrH0,"BB helps Bancho woo his crush, can they succeed?

Checkout my favorite Mivi products : https://mivi.shop/qfbfde

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK
Buy my merchandise from https://bit.ly/3D3mTdu"
